raman_shift_cm-1,intensity_au
50,37.1493759155
51.7495384216,41.4155235291
53.499080658,41.0347366333
55.2486190796,46.2739830017
569.981.575.012,47
58.7476997375,46.2227859497
60.4972381592,53.6271018982
62.2467765808,67.9966659546
63.9963150024,106.986984253
65.7458572388,165.306930542
67.4953994751,223.491287231
69.244934082,290.765991211
70.9944763184,340.772705078
72.7440109253,328.632446289
74.4935531616,303.405761719
76.2430953979,312.47064209
77.9926300049,303.363311768
79.7421722412,318.181365967
81.4917144775,285.230712891
83.2412490845,248.007141113
84.9907913208,177.485473633
86.7403335571,126.993095398
88.4898681641,84.0397262573
90.2394104004,70.7532272339
91.9889526367,62.2863578796
93.7384872437,56.9943466187
95.48802948,56.3772392273
97.2375717163,57.2082328796
98.9871063232,60.806968689
100.73664856,59.1168937683
102.486190796,56.4305992126
104.235725403,61.4942131042
105.985267639,68.1707077026
107.734809875,68.2713241577
109.484344482,65.419921875
111.233886719,64.3294067383
112.983428955,62.5172996521
114.732963562,62.3990745544
116.482505798,73.2231826782
118.232040405,74.618598938
119.981582642,66.19556427
121.731124878,56.7242431641
123.480659485,59.8310890198
125.230201721,70.3537597656
126.979743958,64.3672561646
128.729278564,73.4439239502
130.478820801,57.3708839417
132.228363037,58.9758110046
133.977905273,77.7397613525
135.72744751,72.7942504883
137.476974487,69.3430252075
139.226516724,65.6376647949
140.97605896,67.4126434326
142.725601196,71.961227417
144.475143433,84.1381149292
146.22467041,85.411567688
147.974212646,74.0403900146
149.723754883,71.6972961426
151.473.297.119,72
153.222839355,76.8571548462
154.972381592,87.3634872437
156.721908569,90.9540786743
158.471450806,106.971603394
160.220993042,116.461753845
161.970535278,103.710762024
163.720077515,137.509918213
165.469619751,144.184661865
167.219146729,149.46975708
168.968688965,165.74520874
170.718231201,184.837600708
172.467773438,204.066894531
174.217315674,252.225952148
175.96685791,349.872039795
177.716384888,591.643615723
179.465927124,1063.37158203
181.21546936,1582.08886719
182.965011597,2370.30053711
184.714553833,3351.95507813
186.464080811,4064.22070313
188.213623047,4147.73193359
189.963165283,3804.2331543
191.71270752,3378.52197266
193.462249756,2935.17578125
195.211791992,2433.2175293
196.96131897,1859.85107422
198.710861206,1266.68273926
200.460403442,787.834106445
202.209945679,517.561462402
203.959487915,384.534393311
205.709030151,360.410308838
207.458557129,322.850219727
209.208099365,360.280853271
210.957641602,358.725067139
212.707183838,363.084838867
214.456726074,400.429107666
216.206268311,389.790863037
217.955795288,391.379516602
219.705337524,376.549285889
221.454879761,354.929443359
223.204421997,327.239318848
224.953964233,282.188110352
226.70350647,273.659973145
228.453033447,268.815979004
230.202575684,234.077346802
231.95211792,217.117904663
233.701660156,204.219482422
235.451202393,187.279678345
237.20072937,172.950134277
238.950271606,163.107147217
240.699813843,156.135360718
242.449356079,155.434585571
244.198898315,147.730697632
245.948440552,139.75491333
247.697967529,143.328857422
249.447509766,141.820983887
251.197052002,149.344741821
252.946594238,154.037719727
254.696136475,146.923446655
256.445678711,153.224761963
258.195220947,153.982208252
259.944763184,144.776611328
261.69430542,150.13394165
263.443817139,137.114074707
265.193359375,134.15057373
266.942901611,131.036087036
268.692443848,131.543609619
270.441986084,132.309204102
272.19152832,120.147216797
273.941070557,122.880691528
275.690612793,111.344741821
277.440155029,118.652641296
279.189697266,127.845916748
280.939239502,159.219528198
282.688751221,185.953872681
284.438293457,232.419235229
286.187835693,337.538848877
287.93737793,437.496948242
289.686920166,572.88671875
291.436462402,718.694335938
293.186004639,841.902099609
294.935546875,903.979797363
296.685089111,853.305908203
298.434631348,775.131774902
300.184173584,683.728393555
301.93371582,558.374816895
303.683227539,431.651794434
305.432769775,312.578704834
307.182312012,231.409088135
308.931854248,185.606567383
310.681396484,141.080810547
312.430938721,117.894523621
314.180480957,109.479637146
315.930023193,105.917495728
317.67956543,107.338951111
319.429107666,106.853240967
321.178649902,110.713356018
322.928161621,112.641120911
324.677703857,121.81729126
326.427246094,126.619659424
328.17678833,121.413566589
329.926330566,117.773826599
331.675872803,138.987014771
333.425415039,130.210342407
335.174957275,110.307907104
336.924499512,120.5
338.674041748,120.825973511
340.423583984,125.026252747
342.173126221,125.753929138
343.922637939,133.824768066
345.672180176,159.782928467
347.421722412,248.028778076
349.171264648,453.176086426
350.920806885,829.110107422
352.670349121,1376.73095703
354.419891357,2196.82519531
356.169433594,3239.15795898
357.91897583,4315.86767578
359.668518066,4802.55224609
361.418060303,4807.06445313
363.167602539,4512.53955078
364.917114258,3982.67382813
366.666656494,3424.03710938
368.41619873,2724.66674805
370.165740967,1992.47839355
371.915283203,1437.05786133
373.664825439,974.721862793
375.414367676,648.357116699
377.163909912,487.497344971
378.913452148,390.8722229
380.662994385,323.272064209
382.412536621,279.340667725
384.16204834,263.786590576
385.911590576,258.861328125
387.661132813,248.506607056
389.410675049,244.966217041
391.160217285,250.053466797
392.909759521,247.149078369
394.659301758,235.78604126
396.408843994,236.55128479
398.15838623,232.459823608
399.907928467,220.071487427
401.657470703,222.197875977
403.407012939,208.760848999
405.156524658,193.542053223
406.906066895,199.036453247
408.655609131,193.973007202
410.405151367,188.715072632
412.154693604,183.385757446
413.90423584,181.76184082
415.653778076,177.819396973
417.403320313,181.869522095
419.152862549,189.323760986
420.902404785,192.412490845
422.651947021,200.868438721
424.40145874,200.414657593
426.151000977,197.940155029
427.900543213,183.595870972
429.650085449,181.28704834
431.399627686,196.815490723
433.149169922,188.941070557
434.898712158,173.917221069
436.648254395,166.4296875
438.397796631,160.90411377
440.147338867,162.967590332
441.896881104,133.294799805
443.64642334,129.848800659
445.395935059,118.248985291
447.145477295,112.396774292
448.895019531,101.016731262
450.644561768,100.873260498
452.394104004,88.7504348755
454.14364624,94.6082458496
455.893188477,90.0645294189
457.642730713,94.9050445557
459.392272949,100.769180298
461.141815186,79.5779495239
462.891357422,88.5173187256
464.640869141,95.5947494507
466.390411377,88.9012527466
468.139953613,95.8723983765
469.88949585,85.7487335205
471.639038086,92.87474823
473.388580322,85.5334243774
475.138122559,80.687286377
476.887664795,89.2985992432
478.637207031,86.0963745117
480.386749268,79.7423858643
482.136291504,75.3683319092
483.88583374,73.4190597534
485.635345459,80.8019180298
487.384887695,66.4299545288
489.134429932,75.8884353638
490.883972168,59.8664245605
492.633514404,56.108505249
494.383056641,59.0015945435
496.132598877,41.7577781677
497.882141113,51.8594779968
499.63168335,45.6888275146
501.381225586,55.3777656555
503.130767822,48.44713974
504.880279541,45.1228599548
506.629821777,54.4093132019
508.379364014,47.0102882385
510.12890625,48.0043525696
511.878448486,48.51820755
513.627990723,51.0144309998
515.377502441,52.9568748474
517.127075195,45.9893569946
518.876586914,43.9708404541
520.626159668,39.021484375
522.375671387,42.98462677
524.125244141,40.0185852051
525.874755859,43.022026062
527.624328613,46.5099143982
529.373840332,47.9255485535
531.123413086,38.9821395874
532.872924805,37.0541496277
534.622497559,42.5120658875
536.372009277,43.4333152771
538.121520996,38.5637626648
539.87109375,42.4120941162
541.620605469,37.6068153381
543.370178223,42.6607704163
545.119689941,28.3230209351
546.869262695,40.9574165344
548.618774414,39.7791481018
550.368347168,48.3078269958
552.117858887,42.6580352783
553.867431641,34.232460022
555.616943359,39.7055854797
557.366455078,44.0503692627
559.116027832,44.5123023987
560.865539551,36.2962532043
562.615112305,41.3808097839
564.364624023,46.5178604126
566.114196777,40.4409751892
567.863708496,45.7621574402
569.61328125,43.042137146
571.362792969,43.861869812
573.112365723,47.4520683289
574.861877441,46.692440033
576.61138916,43.7269134521
578.360961914,41.2694969177
580.110473633,40.4787445068
581.860046387,47.5
583.609558105,47.6362304688
585.359130859,50.2879142761
587.108642578,59.1118888855
588.858215332,48.3409347534
590.607727051,45.4188156128
592.357299805,37.888874054
594.106811523,49.8472099304
595.856323242,43.0750274658
597.605895996,45.5
599.355407715,45.3950157166
601.104980469,44.0163574219
602.854492188,43.4686698914
604.604064941,54.095085144
606.35357666,51.5489845276
608.103149414,39.9319992065
609.852661133,47.1088294983
611.602233887,51.7785415649
613.351745605,51.0569763184
615.101318359,48.6988830566
616.850830078,51.1889572144
618.600341797,51.3054199219
620.349914551,56.9968719482
622.09942627,60.5155181885
623.848999023,50.0363311768
625.598510742,49.2667312622
627.348083496,53.0484008789
629.097595215,51.1067008972
630.847167969,49.6876907349
632.596679688,54.5786247253
634.346252441,58.4592056274
636.09576416,49.3823776245
637.845275879,51.4589767456
639.594848633,56.6110992432
641.344360352,58.6330947876
643.093933105,57.9953079224
644.843.444.824,53
646.593017578,52.4704856873
648.342529297,59.8837203979
650.092102051,61.4764213562
651.84161377,57.5
653.591186523,51.3178291321
655.340698242,58.4829521179
657.090209961,59.1784172058
658.839782715,56.5903549194
660.589294434,61.4140205383
662.338867188,58.4846420288
664.088378906,57.370552063
665.83795166,64.6694412231
667.587463379,58.8718643188
669.337036133,57.3404006958
671.086547852,63.6513938904
672.836120605,78.9937667847
674.585632324,93.6489257813
676.335205078,90.0459289551
678.084716797,80.2509918213
679.834228516,88.1971054077
68.158.380.127,90
683.333312988,84.2767562866
685.082885742,88.4467773438
686.832397461,87.6221694946
688.581970215,80.465965271
690.331481934,90.5311660767
692.081054688,66.5732116699
693.830566406,66.4984893799
695.58013916,64.5456619263
697.329650879,66.7298812866
699.079162598,59.2912216187
700.828735352,48.0797653198
702.57824707,48.4462623596
704.327819824,44.7175178528
706.077331543,53.2851829529
707.826904297,51.4200363159
709.576416016,49.3433151245
711.32598877,52.6860656738
713.075500488,54.1606636047
714.825073242,62.619556427
716.574584961,62.0528526306
718.32409668,63.3500328064
720.073669434,66.2281723022
721.823181152,74.556427002
723.572753906,81.9349136353
725.322265625,90.6813278198
727.071838379,96.4655914307
728.821350098,98.9109268188
730.570922852,93.13646698
732.32043457,91.4907531738
734.070007324,85.8173751831
735.819519043,86.4784622192
737.569030762,81.2577514648
739.318603516,82.4547958374
741.068115234,86.2272644043
742.817687988,80.645942688
744.567199707,69.1422805786
746.316772461,64.8471221924
748.06628418,71.4901428223
749.815856934,57.5507926941
751.565368652,55.4835128784
753.314941406,48.8840942383
755.064453125,48.243106842
756.814025879,45.9296531677
758.563537598,41.9633331299
760.313049316,33.2955513
762.06262207,31.0895233154
763.812133789,30.9999980927
765.561706543,38.9792137146
767.311218262,39.6412200928
769.060791016,44.6686172485
770.810302734,38.7903671265
772.559875488,36.1051979065
774.309387207,32.3571166992
776.058959961,28.586145401
777.80847168,30.4187202454
779.557983398,35.1859588623
781.307556152,32.2367210388
783.057067871,33.4087181091
784.806640625,34.5906867981
786.556152344,28.0333156586
788.305725098,30.741071701
790.055236816,30.9906806946
791.80480957,31.5539073944
793.554321289,33.3650436401
795.303894043,33.343082428
797.053405762,38.9592475891
798.80291748,34.9205436707
800.552490234,29.8884963989
802.302001953,28.5332794189
804.051574707,30.0343494415
805.801086426,33.1332893372
807.55065918,31.0208015442
809.300170898,32.3370666504
811.049743652,25.6875934601
812.799255371,32.4690322876
814.548828125,37.0825004578
816.298339844,34.2953987122
818.047912598,28.7703113556
819.797424316,28.9931335449
821.546936035,26.6245155334
823.296508789,32.1887245178
825.046020508,27.8327255249
826.795593262,35.9361495972
828.54510498,33.4483108521
830.294677734,25.0055236816
832.044189453,33.7093429565
833.793762207,35.0427398682
835.543273926,30.4799938202
837.29284668,25.4776725769
839.042358398,24.6927127838
840.791870117,24.7887268066
842.541442871,29.3364048004
844.29095459,35.2494316101
846.040527344,34.6940307617
847.790039063,33.1370391846
849.539611816,36.7956886292
851.289123535,37.8681793213
853.038696289,33.1940116882
854.788208008,34.0602111816
856.537780762,30.3730449677
858.28729248,26.5697784424
860.036804199,34.4993667603
861.786376953,25.3173179626
863.535888672,31.4453868866
865.285461426,21.8004436493
867.034973145,32.4264030457
868.784545898,26.6066989899
870.534057617,28.9259796143
872.283630371,32.6596450806
874.03314209,29.9664459229
875.782714844,30.3535499573
877.532226563,37.3716125488
879.281738281,31.075510025
881.031311035,31.8172969818
882.780822754,24.7176437378
884.530395508,30.9401569366
886.279907227,31.3657512665
888.02947998,31.0704288483
889.778991699,31.5971641541
891.528564453,32.6170120239
893.278076172,37.2440414429
895.027648926,32.062461853
896.777160645,28.2615375519
898.526733398,26.8255157471
900.276245117,36.8467445374
902.025756836,32.89112854
903.77532959,26.9518184662
905.524841309,30.8344249725
907.274414063,32.5175971985
909.023925781,33.9271278381
910.773498535,25.2565517426
912.523010254,36.2062110901
914.272583008,33.722858429
916.022094727,31.4634189606
917.77166748,31.1919803619
919.521179199,27.6851425171
921.270690918,35.0906677246
923.020263672,29.2096233368
924.769775391,25.5
926.519348145,28.1294021606
928.268859863,31.0739002228
930.018432617,33.6774368286
931.767944336,31.979019165
933.51751709,32.3008613586
935.267028809,35.6921615601
937.016601563,31.9997081757
938.766113281,36.2110023499
940.515625,34.7047424316
942.265197754,39.8226394653
944.014709473,37.3851776123
945.764282227,31.482170105
947.513793945,38.1191520691
949.263366699,37.6412086487
951.012878418,31.4430027008
952.762451172,34.0896453857
954.511962891,34.0849647522
956.261535645,31.0078239441
958.011047363,33.4350242615
959.760559082,29.7601089478
961.510131836,31.0969486237
963.259643555,31.331111908
965.009216309,30.1812381744
966.758728027,29.6547584534
968.508300781,33.5925254822
970.2578125,29.8171195984
972.007385254,37.0051727295
973.756896973,36.6901397705
975.506469727,29.7895965576
977.255981445,31.4796485901
979.005554199,29.966173172
980.755065918,29.9302539825
982.504577637,32.2010269165
984.254150391,28.7331104279
986.003662109,30.0765304565
987.753234863,30.9838352203
989.502746582,33.1985359192
991.252319336,33.2123565674
993.001831055,30.3170833588
994.751403809,34.1372108459
996.500915527,38.4397010803
998.250488281,32.6558036804
1000,24.193611145
